rank,source_type,source,candidate_id,score,context_snippet,suggested_id,reason
63,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=63,M1-Q03,0.050,,,
64,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=64,M1-Q03,0.050,,,
65,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=65,M1-Q03,0.050,,,
66,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=66,M1-Q03,0.050,,,
67,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=67,M1-Q03,0.050,,,
68,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=68,M1-Q03,0.050,,,
69,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=69,M1-Q03,0.050,,,
70,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=70,M1-Q03,0.050,,,
71,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=71,M1-Q03,0.050,,,
72,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=72,M1-Q03,0.050,,,
73,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=73,M1-Q03,0.050,,,
74,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=74,M1-Q03,0.050,,,
75,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=75,M1-Q03,0.050,,,
76,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=76,M1-Q03,0.050,,,
77,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=77,M1-Q03,0.050,,,
78,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=78,M1-Q03,0.050,,,
79,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=79,M1-Q03,0.050,,,
80,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=80,M1-Q03,0.050,,,
81,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=81,M1-Q03,0.050,,,
82,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=82,M1-Q03,0.050,,,
83,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=83,M1-Q03,0.050,,,
84,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=84,M1-Q03,0.050,,,
85,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=85,M1-Q03,0.050,,,
86,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=86,M1-Q03,0.050,,,
87,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=87,M1-Q03,0.050,,,
88,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=88,M1-Q03,0.050,,,
89,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=89,M1-Q03,0.050,,,
90,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=90,M1-Q03,0.050,,,
91,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=91,M1-Q03,0.050,,,
92,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=92,M1-Q03,0.050,,,
93,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=93,M1-Q03,0.050,,,
94,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=94,M1-Q03,0.050,,,
95,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=95,M1-Q03,0.050,,,
96,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=96,M1-Q03,0.050,,,
97,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=97,M1-Q03,0.050,,,
98,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=98,M1-Q03,0.050,,,
99,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=99,M1-Q03,0.050,,,
100,pdf_page,MODULE 1_1_6wdx.yFooMSpEweBG.file#page=100,M1-Q03,0.050,,,
101,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=1,M1-Q03,0.050,,,
102,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=2,M1-Q03,0.050,,,
103,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=3,M1-Q03,0.050,,,
104,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=4,M1-Q03,0.050,,,
105,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=5,M1-Q03,0.050,,,
106,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=6,M1-Q03,0.050,,,
107,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=7,M1-Q03,0.050,,,
108,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=8,M1-Q03,0.050,,,
109,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=9,M1-Q03,0.050,,,
110,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=10,M1-Q03,0.050,,,
111,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=11,M1-Q03,0.050,,,
112,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=12,M1-Q03,0.050,,,
113,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=13,M1-Q03,0.050,,,
114,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=14,M1-Q03,0.050,,,
115,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=15,M1-Q03,0.050,,,
116,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=16,M1-Q03,0.050,,,
117,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=17,M1-Q03,0.050,,,
118,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=18,M1-Q03,0.050,,,
119,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=19,M1-Q03,0.050,,,
120,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=20,M1-Q03,0.050,,,
121,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=21,M1-Q03,0.050,,,
122,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=22,M1-Q03,0.050,,,
123,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=23,M1-Q03,0.050,,,
124,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=24,M1-Q03,0.050,,,
125,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=25,M1-Q03,0.050,,,
126,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=26,M1-Q03,0.050,,,
127,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=27,M1-Q03,0.050,,,
128,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=28,M1-Q03,0.050,,,
129,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=29,M1-Q03,0.050,,,
130,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=30,M1-Q03,0.050,,,
131,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=31,M1-Q03,0.050,,,
132,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=32,M1-Q03,0.050,,,
133,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=33,M1-Q03,0.050,,,
134,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=34,M1-Q03,0.050,,,
135,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=35,M1-Q03,0.050,,,
136,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=36,M1-Q03,0.050,,,
137,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=37,M1-Q03,0.050,,,
138,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=38,M1-Q03,0.050,,,
139,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=39,M1-Q03,0.050,,,
140,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=40,M1-Q03,0.050,,,
141,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=41,M1-Q03,0.050,,,
142,pdf_page,MODULE 1_2_1xn2.Fqv7c8lyq6Fk.file#page=42,M1-Q03,0.050,,,
143,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=1,M1-Q03,0.050,,,
144,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=2,M1-Q03,0.050,,,
145,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=3,M1-Q03,0.050,,,
146,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=4,M1-Q03,0.050,,,
147,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=5,M1-Q03,0.050,,,
148,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=6,M1-Q03,0.050,,,
149,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=7,M1-Q03,0.050,,,
150,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=8,M1-Q03,0.050,,,
151,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=9,M1-Q03,0.050,,,
152,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=10,M1-Q03,0.050,,,
153,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=11,M1-Q03,0.050,,,
154,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=12,M1-Q03,0.050,,,
155,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=13,M1-Q03,0.050,,,
156,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=14,M1-Q03,0.050,,,
157,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=15,M1-Q03,0.050,,,
158,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=16,M1-Q03,0.050,,,
159,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=17,M1-Q03,0.050,,,
160,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=18,M1-Q03,0.050,,,
161,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=19,M1-Q03,0.050,,,
162,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=20,M1-Q03,0.050,,,
163,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=21,M1-Q03,0.050,,,
164,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=22,M1-Q03,0.050,,,
165,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=23,M1-Q03,0.050,,,
166,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=24,M1-Q03,0.050,,,
167,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=25,M1-Q03,0.050,,,
168,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=26,M1-Q03,0.050,,,
169,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=27,M1-Q03,0.050,,,
170,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=28,M1-Q03,0.050,,,
171,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=29,M1-Q03,0.050,,,
172,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=30,M1-Q03,0.050,,,
173,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=31,M1-Q03,0.050,,,
174,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=32,M1-Q03,0.050,,,
175,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=33,M1-Q03,0.050,,,
176,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=34,M1-Q03,0.050,,,
177,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=35,M1-Q03,0.050,,,
178,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=36,M1-Q03,0.050,,,
179,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=37,M1-Q03,0.050,,,
180,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=38,M1-Q03,0.050,,,
181,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=39,M1-Q03,0.050,,,
182,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=40,M1-Q03,0.050,,,
183,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=41,M1-Q03,0.050,,,
184,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=42,M1-Q03,0.050,,,
185,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=43,M1-Q03,0.050,,,
186,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=44,M1-Q03,0.050,,,
187,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=45,M1-Q03,0.050,,,
188,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=46,M1-Q03,0.050,,,
189,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=47,M1-Q03,0.050,,,
190,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=48,M1-Q03,0.050,,,
191,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=49,M1-Q03,0.050,,,
192,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=50,M1-Q03,0.050,,,
193,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=51,M1-Q03,0.050,,,
194,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=52,M1-Q03,0.050,,,
195,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=53,M1-Q03,0.050,,,
196,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=54,M1-Q03,0.050,,,
197,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=55,M1-Q03,0.050,,,
198,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=56,M1-Q03,0.050,,,
199,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=57,M1-Q03,0.050,,,
200,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=58,M1-Q03,0.050,,,
201,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=59,M1-Q03,0.050,,,
202,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=60,M1-Q03,0.050,,,
203,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=61,M1-Q03,0.050,,,
204,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=62,M1-Q03,0.050,,,
205,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=63,M1-Q03,0.050,,,
206,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=64,M1-Q03,0.050,,,
207,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=65,M1-Q03,0.050,,,
208,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=66,M1-Q03,0.050,,,
209,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=67,M1-Q03,0.050,,,
210,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=68,M1-Q03,0.050,,,
211,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=69,M1-Q03,0.050,,,
212,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=70,M1-Q03,0.050,,,
213,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=71,M1-Q03,0.050,,,
214,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=72,M1-Q03,0.050,,,
215,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=73,M1-Q03,0.050,,,
216,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=74,M1-Q03,0.050,,,
217,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=75,M1-Q03,0.050,,,
218,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=76,M1-Q03,0.050,,,
219,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=77,M1-Q03,0.050,,,
220,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=78,M1-Q03,0.050,,,
221,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=79,M1-Q03,0.050,,,
222,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=80,M1-Q03,0.050,,,
223,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=81,M1-Q03,0.050,,,
224,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=82,M1-Q03,0.050,,,
225,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=83,M1-Q03,0.050,,,
226,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=84,M1-Q03,0.050,,,
227,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=85,M1-Q03,0.050,,,
228,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=86,M1-Q03,0.050,,,
229,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=87,M1-Q03,0.050,,,
230,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=88,M1-Q03,0.050,,,
231,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=89,M1-Q03,0.050,,,
232,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=90,M1-Q03,0.050,,,
233,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=91,M1-Q03,0.050,,,
234,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=92,M1-Q03,0.050,,,
235,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=93,M1-Q03,0.050,,,
236,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=94,M1-Q03,0.050,,,
237,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=95,M1-Q03,0.050,,,
238,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=96,M1-Q03,0.050,,,
239,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=97,M1-Q03,0.050,,,
240,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=98,M1-Q03,0.050,,,
241,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=99,M1-Q03,0.050,,,
242,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=100,M1-Q03,0.050,,,
243,pdf_page,MODULE 1_3_cp9q.vZHFBn9oMUZP.file#page=101,M1-Q03,0.050,,,
244,pdf_page,MODULE 3 synthesis#page=1,M1-Q20,0.101,"Module 3: Technology, Learning, and the 
Brain (Complete Summary)  
1. Change of the World: from 3D to 2D  
Based on the work of Susan Greenfield, the fundamental premise for this module is that we 
are living through an unprecedented environmental shift from a ""3D world"" to a ""2D world.""  
The 3D t",,
245,pdf_page,MODULE 3 synthesis#page=2,M1-Q20,0.116,"This is a crucial distinction. A car is a means to an end (getting from A to B). Electricity is a 
means to an end (powering a light).  
In contrast, the digital environment (like a social network) has become an end in itself . It is the 
""place"" where people live, socialise, and build their identit",,
246,pdf_page,MODULE 3 synthesis#page=3,M1-Q20,0.092,"developed superior problem -sol vi ng sk i l l s and measurabl e physi cal  brai n changes 
compared to rats i n ""standard cages.""  
○ Gene- Environment Interaction (Van Dellen et al., 2000):  Mice with the 
Huntington's disease gene raised in an enriched environment developed movement 
problems muc",,
247,pdf_page,MODULE 3 synthesis#page=4,M4-Q09,0.090,"is a curated identity that represents not who we are, but who we want to be  (or who we 
want others to thi nk we are).  
A Kid S c a p e (201 1 ) survey found that 50% of young peopl e (1 1 -18) lie  a b o ut  p e rs o na l d e t a ils  
onl i ne to create i denti ti es that are ""more sex y"" or ""mo",,
