rank,source_type,source,candidate_id,score,context_snippet,suggested_id,reason
18,pdf_page,MODULE 3_MindChange_part2#page=3,M3-Q15,0.309,Summary • Change of the World: from 3D to 2D • How our brain works and changes • Effects of the digital world on identity and relationship • Effects of the digital world on free time and aggressivity • Effects of the digital world on memory and learning,,
19,pdf_page,MODULE 3_MindChange_part3#page=1,M3-Q15,0.309,Summary • Change of the World: from 3D to 2D • How our brain works and changes • Effects of the digital world on identity and relationship • Effects of the digital world on free time and aggressivity • Effects of the digital world on memory and learning,,
20,rtf_qid,RTF:Q4.3,M1-Q20,0.308,Part 2 - Specific Studies,,
21,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=12,M4-Q22,0.307,PLACEBO in modern science: 3 contexts • In clinical trials→ the aim is to REDUCE the placebo effect Placebo administered to quantify the efficacy of an active  treatment,,
22,pdf_page,MODULE 4_1_Neuro_mech-1#page=50,M4-Q16,0.306,Placebo effect and PD • Clinical trials • Behavioral Studies • Neuroimaging studies – PET – Single neuron recordings – EEG,,
23,pdf_page,MODULE 4_1_Neuro_mech-1#page=1,M4-Q05,0.304,"Placebo, nocebo and  contextual factors: history, research and clinical practice",,
24,pdf_page,MODULE 4_1_Neuro_mech-1#page=29,M4-Q18,0.304,MOTOR  SYSTEM Placebo effect (caffeine drink) Nocebo effect (sham stimulation),,
25,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=69,M4-Q05,0.304,"Placebo, nocebo and  contextual factors: history, research and clinical practice",,
26,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27,M4-Q16,0.295,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
27,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=64,M4-Q18,0.290,BALANCED DESIGN GET TOLD MEDICATION PLACEBO ACTIVE  EFFECT PLACEBO EFFECT BASELINE MEDICATION PLACEBO ACTIVE +  Placebo,,
28,pdf_page,MODULE 4_1_Neuro_mech-1#page=2,M4-Q22,0.288,PLACEBO in modern science: 3 contexts • In clinical trials → the aim is to REDUCE the placebo effect • In scientific research → the aim is to UNDERSTAND how the placebo effect works • In clinical practice →the aim is to INCREASE the placebo effect,,
29,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=70,M4-Q22,0.288,PLACEBO in modern science: 3 contexts • In clinical trials → the aim is to REDUCE the placebo effect • In scientific research → the aim is to UNDERSTAND how the placebo effect works • In clinical practice →the aim is to INCREASE the placebo effect,,
30,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=26,M4-Q16,0.285,CLASSIFICATION OF CLINICAL TRIALS • Method used to allocate participants to groups (treatment or control)  (randomized or non-randomized) • Participant and researcher awareness of group allocation (blinding),,
31,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=71,M4-Q22,0.283,PLACEBO in modern science: SCIENTIFIC  RESEARCH • In research→ UNDERSTAND How does that work: 1) Psychological mechanisms 2) Neurobiological mechanisms How can it be studied? How much does it work? Who does it work on? On what population? Under what conditions does it work?,,
32,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=11,M4-Q22,0.280,PLACEBO in modern science: 3 contexts • In clinical trials → the aim is to REDUCE the placebo effect • In scientific research → the aim is to UNDERSTAND how placebo effect works • In clinical practice → the aim is to INCREASE the placebo effect,,
33,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=13,M4-Q16,0.280,PLACEBO in modern science: 3 contexts • In clinical trials → REDUCE PLACEBO Efficacy,,
34,pdf_page,MODULE 4_1_Neuro_mech-1#page=15,M4-Q22,0.276,"Krummenacher et al. 2010 Pain 148: 368-374 If the prefrontal area (DLPFC) is inactivated,  placebo effect is abolished Analgesia  expectation Analgesia  expectation",,
35,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=50,M4-Q18,0.268,+ CONTEXT PLACEBO Placebo effect Nocebo effect Placebo effect ≠ placebo response (RCTs) Inert treatment administered  within a psychosocial  setting (context effect),,
36,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=4,M4-Q22,0.267,THEORETICAL SUMMARY • Definitions • Psychological mechanisms that activate placebo and nocebo effects • Physiological mechanisms that activate placebo and nocebo effects • From theory to clinical practice and ethics,,
37,pdf_page,MODULE 4_1_Neuro_mech-1#page=11,M4-Q18,0.266,Placebo effect and PAIN • Behavioral Studies • Pharmacological studies • Neuroimaging studies - PET-fMRI -EEG,,
38,pdf_page,MODULE 4_1_Neuro_mech-1#page=19,M4-Q18,0.266,Placebo effect and PAIN • Behavioral Studies • Pharmacological studies • Neuroimaging studies - PET-fMRI - EEG,,
39,rtf_qid,RTF:Q9.2,M4-Q09,0.263,Module 1 - General,M1-Q09,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
40,pdf_page,MODULE 3_MindChange_part2#page=43,M4-Q15,0.261,"VIDEOGAMES, AGGRESSION, AND RECKLESSNESS • Moreover, these effects seem to  increase and last for several days.",,
41,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=3,M4-Q05,0.261,"Placebo, nocebo and  contextual factors:  HOW DOES CONTEXT CHANGES OUR BRAIN? History, research and clinical practice",,
42,pdf_page,MODULE 3_MindChange_part2#page=16,M4-Q16,0.260,• Considering the CGT task →negative correlation between the gray  matter volume in the left ventral striatum and the deliberation time in  the CGT Gaming →mark in the  brain,,
43,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=48,M4-Q18,0.260,PLACEBO EFFECT = CONTEXT EFFECT Expectation Previous  experience • VERBAL  INFORMATION • DOCTOR-PATIENT  RELATIONSHIP Patient  characteristics • PHYSICAL CONTEXT • PHYSICALITY OF THE  TREATMENT,,
44,pdf_page,MODULE 4_1_Neuro_mech-1#page=14,M1-Q20,0.259,"Amanzio, Benedetti et al (2011) Hum Brain Mapp Placebo - Expectation Pain perception (pain matrix) Activation Inhibition DLPFC rACC (Rostral Cingulate  Anterior Cortex) PAG (Periaqueductal  Gray) Putamen Insula Caudate Thalamus pCC (Posterior cingulate  Cortex)",,
45,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=94,M4-Q24,0.259,Conditioning • Behavioral psychology: different types of Learning,,
46,pdf_page,MODULE 3_MindChange_part2#page=2,M1-Q20,0.258,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
47,pdf_page,MODULE 4_1_Neuro_mech-1#page=45,M4-Q18,0.258,"HORMONAL CHANGES • Plasma GH  concentration • Expectancy does not  vary GH  concentration • Placebo mimics the  effect of  sumatriptan (> GH) Benedetti et al., 2003",,
48,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=49,M4-Q18,0.258,PLACEBO EFFECT = CONTEXT EFFECT The placebo effect is the effect of the context Expectation Previous  experience • VERBAL  INFORMATION • DOCTOR-PATIENT  RELATIONSHIP Patient  characteristics • PHYSICAL CONTEXT • PHYSICALITY OF THE  TREATMENT PLACEBO,,
49,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img1.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
50,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img2.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
51,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img3.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
52,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img4.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
53,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img5.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
54,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img6.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
55,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img7.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
56,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img8.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
57,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=30#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_30_img9.png,M4-Q16,0.258,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  DOUBLE-BLINDING,,
58,pdf_page,MODULE 3_MindChange_part1#page=88,M4-Q13,0.257,Face processing is  compromised,,
59,pdf_page,MODULE 3_MindChange_part2#page=6,M4-Q21,0.255,Videogame and the brain What’s going on in our brain when we play videogames?,,
60,pdf_page,MODULE 4_1_Neuro_mech-1#page=46,M4-Q18,0.254,"HORMONAL CHANGES • Plasma cortisol  concentration • Expectancy does not  vary cortisol  concentration • Placebo mimics the  effect of sumatriptan  (< cortisol) Benedetti et al., 2003",,
61,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=28,M4-Q16,0.254,Informations about patients  RANDOM CLASSIFICATION OF CLINICAL TRIALS:  randomized method Experimenter,,
62,pdf_page,MODULE 3_MindChange_part1#page=18,M1-Q13,0.252,"Brain Changes Let’s see examples of this brain plasticity: Kolb, B. (2009).",,
63,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img1.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
64,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img2.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
65,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img3.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
66,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img4.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
67,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img5.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
68,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img6.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
69,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img7.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
70,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img8.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
71,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=29#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_29_img9.png,M4-Q01,0.252,Experimenter CLASSIFICATION OF CLINICAL TRIALS:  SINGLE-BLINDING,,
72,pdf_page,MODULE 3_MindChange_part3#page=17,M1-Q12,0.251,"• The Internet has become a  primary form of external or  transactive memory, where  information is stored  collectively outside ourselves. • Google can “affect” memory…  which kind of memory? Google effect",,
73,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=15,M4-Q16,0.251,PLACEBO IN CLINICAL TRIALS We administer the ACTIVE treatment (active arm) time pain Treatment  administration PAIN CONDITION With the active treatment the  pain decreases over time,,
74,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=17,M4-Q16,0.251,"PLACEBO IN CLINICAL TRIALS We administer the ACTIVE treatment (active arm) and ... WE COMPARE WITH PLACEBO (sine wave) In this case, is the drug more  effective than placebo in reducing  pain? time pain Treatment  administration PAIN CONDITION",,
75,rtf_qid,RTF:Q6.2,M1-Q26,0.250,Module 1 - General,,
76,rtf_qid,RTF:Q7.2,M4-Q07,0.250,Module 1 - General,M1-Q07,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
77,rtf_qid,RTF:Q10.2,M4-Q21,0.250,Module 1 - General,M1-Q21,"Context mentions ""Module 1""; remap M4 -> M1 keeping Q number."
78,rtf_qid,RTF:Q6.2,M1-Q26,0.250,Part 3 - Circuitry,,
79,rtf_qid,RTF:Q7.2,M4-Q07,0.250,Part 3 - Circuitry,,
80,rtf_qid,RTF:Q10.2,M4-Q21,0.250,Part 3 - Circuitry,,
81,rtf_qid,RTF:Q6.2,M1-Q26,0.250,Module 3 - Mind Change,,
82,rtf_qid,RTF:Q7.2,M4-Q07,0.250,Module 3 - Mind Change,,Context mentions Module 3; no automatic suggestion.
83,pdf_page,MODULE 3_MindChange_part1#page=99,M1-Q17,0.249,Role of Nacc Fig. 3. Distributions of the tracked Facebook variables from the smartphones of the participants.,,
84,pdf_page,MODULE 3_MindChange_part2#page=34,M1-Q12,0.249,Is there a link between aggression and  videogames? Violent videogames Especially “realistic” video games Increase aggression Increase aggression in real life ??? ???,,
85,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=75,M4-Q22,0.249,"PSYCHOLOGICAL MECHANISMS • Theoretical aspects: – Expectation: Models • Pierce’s theory →SIGNS  • Atkinson →EXPECTATIONS + SUBJECTIVE VALUE  • Khaneman, Tversky →PROSPECT THEORY (loss and gain)  • Rescorla-Wagner →ASSOCIATIVE LEARNING PROCESS • ViolEx Model →VIOLATION OF EXPECTATION  • Bayesian pers",,
86,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=31,M4-Q16,0.247,CLINICAL TRIALS GOLD STANDARD: 1) Randomized 2) Double-blind 3) Placebo controlled Experimenter RANDOMIZATION,,
87,pdf_page,MODULE 3_MindChange_part1#page=82,M4-Q24,0.246,Changes in  communication  style,,
88,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=9,M4-Q18,0.246,HOW CAN WE SAY THAT A TREATMENT  IS EFFECTIVE? ?,,
89,pdf_page,MODULE 3_MindChange_part1#page=16,M4-Q15,0.244,Brain Changes 3D world 2D world ≠ human brain will adapt to  whatever environment in  which it is placed,,
90,pdf_page,MODULE 3_MindChange_part2#page=45,M1-Q13,0.241,"VIDEOGAMES, AGGRESSION, AND RECKLESSNESS",,
91,pdf_page,MODULE 3_MindChange_part2#page=73,M4-Q07,0.241,Screen and visual attention,,
92,pdf_page,MODULE 4_1_Neuro_mech-1#page=52,M1-Q12,0.241,"• Surgical trial (McRae et al., 2004): • No difference between real intervention and placebo  (""effectiveness of transplantation of human embryonic  dopamine neurons"") • Difference based on patient perception: – Patients who thought they had undergone the real surgery had  a benefit up to 12 months",,
93,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=47,M4-Q22,0.241,"PLACEBO IN CLINICAL TRIALS:  ACTIVE ARM PROBLEMS • Is the placebo effect therefore increasing? • The effect of the psychosocial context that accompanies the  administration of medical treatment is increasing Carlino E, Vase L. Can knowledge of Placebo and Nocebo Mechanisms Help Improve Randomized Cl",,
94,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=80,M4-Q22,0.241,Expectation: Peirce's theory •We actively interpret the signs of the objects that surround us •This interpretation produces changes in our body that add to  the changes produced by the object itself,,
95,pdf_page,MODULE 3_MindChange_part1#page=69,M4-Q22,0.240,Most popular social networks of teenagers in  the United States from fall 2012 to fall 2019 © Statista 2020,,
96,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=40,M4-Q15,0.240,PLACEBO IN CLINICAL TRIALS: PROBLEMS We administer the ACTIVE treatment (active arm) and… WE COMPARE WITH PLACEBO (placebo arm) pain Treatment administration Natural History (NH) Regression to the mean Bias NON-SPECIFIC FACTORS Treatment efficacy ACTIVE  PRINCIPLE x,,
97,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=62,M4-Q13,0.240,CROSS-OVER DESIGN R A N D O M I Z A T I O N Drug administration Placebo administration  Placebo administration Drug administration,,
98,pdf_page,MODULE 3_MindChange_part2#page=69,M4-Q07,0.239,Screen and visual attention the habitual videogame players (VGPs)  outperformed the rookies (NVGPs),,
99,pdf_page,MODULE 3_MindChange_part1#page=1,M4-Q07,0.235,Use of technology and  networking: how do they change our brain,,
100,pdf_page,MODULE 3_MindChange_part2#page=1,M4-Q07,0.235,Use of technology and  networking: how do they change our brain,,
101,pdf_page,MODULE 3_MindChange_part2#page=33,M4-Q18,0.235,From free time to aggression A crucial point related to videogames is related to aggression,,
102,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=16,M4-Q16,0.235,"PLACEBO IN CLINICAL TRIALS We administer the ACTIVE treatment (active arm) and ... WE COMPARE WITH PLACEBO (flat line) In this case, is the drug more  effective than placebo in reducing  pain? Time pain Treatment  administration PAIN CONDITION Pain remains the same  over time",,
103,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=18,M4-Q16,0.234,"PLACEBO IN CLINICAL TRIALS We administer the ACTIVE treatment (active arm) and ... WE COMPARE WITH PLACEBO In this case, is the drug more  effective than placebo in reducing  pain? time pain Administration treatment PAIN CONDITION Both active treatment and  placebo lead to a decrease of  pain over t",,
104,pdf_page,MODULE 3_MindChange_part1#page=4,M4-Q18,0.233,Change of the World: from 3D to 2D 3D world Tablet PC Smartphone TV,,
105,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img1.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
106,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img2.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
107,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img3.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
108,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img4.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
109,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img5.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
110,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img6.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
111,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img7.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
112,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img8.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
113,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=27#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_27_img9.png,M4-Q01,0.232,Experimenter CLASSIFICATION OF CLINICAL TRIALS: non- randomized method,,
114,pdf_page,MODULE 4_1_Neuro_mech-1#page=16,M1-Q17,0.229,Stein et al (2012) Pain 153: 2210-2217 The matter integrity by fractional anisotropy in normal subjects Lower frontal integrity corresponds to a lower  placebo response,,
115,pdf_page,MODULE 4_1_Neuro_mech-1#page=63,M1-Q20,0.229,"• Extension of previous study • During DBS surgery • Analysis of thalamic nuclei (VA, anterior  ventral and anterior ventral lateral VLA) and  substance nigra Improvements in single-neuron  studies Benedetti,   J Physiol  2009",,
116,pdf_page,MODULE 3_MindChange_part2#page=29,M1-Q12,0.228,Chicken and eggs complication applies these disturbances in arousal regulation could be either a cause  of gaming addiction Or a consequence of it,,
117,pdf_page,MODULE 4_1_Neuro_mech-1#page=68,M1-Q20,0.228,"EEG STUDY It’s my  standard dose  of L-dopa DECEIVE = HALF DOSE HALF = HALF DOSE  FULL = FULL DOSE  It’s my  standard dose  of L-dopa It’s the 50%  of my dose of  L-dopa Carlino et al., Parkinsonisms, 2019",,
118,pdf_page,MODULE 3_MindChange_part1#page=41,M1-Q20,0.226,"We share… • Personal information (true or false) • We share our identity (real, virtual or desired) Previous researches on online ID: 1) Focus on the lack of identity →role of anonymity 2) Focus on the possibility to change online ID and on the quality of  information shared",,
119,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=82,M1-Q20,0.226,"Expectation: Kahneman and Tversky's  prospect theory •The idea behind these theories is the balance between loss  and gain •In decision-making, potential losses tend to carry greater  weight than anticipated gains •In a clinical setting, patient anxiety and concerns about  treatments may be more rel",,
120,pdf_page,MODULE 3_MindChange_part1#page=95,M4-Q02,0.225,Nacc and online  reputation,,
121,pdf_page,MODULE 4_1_Neuro_mech-1#page=71,M4-Q16,0.225,"Conclusion Patients’ expectations about treatment can  significantly enhance its clinical efficacy, even  when the actual dose is lower.",,
122,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=52,M1-Q12,0.225,"CONTEXTUAL FACTORS:  what are they and how have they been studied?  Testa & Rossettini, 2016, Manual Therapy Rossettini, Carlino, Testa, 2018, BMC Musculoskeletal Disorders",,
123,pdf_page,MODULE 3_MindChange_part1#page=66,M4-Q22,0.224,What do we do online? Which are the  consequences? Online activities Share  information Add comments  Interact with  “friends” Biological and psychological  consequences 1. Change of the concept of identity 2. Change of the concept of privacy 3. Cerebral changes after sharing 4. “Like” effect and “d,,
124,pdf_page,MODULE 3_MindChange_part3#page=2,M1-Q20,0.224,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING 1) Memory →google effect 2) Searching 3) Reading 4) Multitasking,,
125,pdf_page,MODULE 3_MindChange_part3#page=22,M1-Q20,0.224,"• The brain scans of the Net-naive group  showed an activation pattern similar to that  of their text reading task. • Net-savvy group demonstrated significant  increases in activity in additional regions  that control decision making, complex  reasoning, and vision • After only five days of spending",,
126,pdf_page,MODULE 4_1_Neuro_mech-1#page=36,M1-Q12,0.224,"CONCLUSIONS • The nocebo effect acts on the motor system in  ""physiological"" conditions. • Expectation alone produces a worsening of  performance even without preconditioning",,
127,pdf_page,MODULE 4_1_Neuro_mech-1#page=56,M4-Q09,0.224,"Pollo et al., 2002; Benedetti et al., 2003 Improvement in behavioral studies",,
128,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=38,M4-Q07,0.224,"• STANDARD TRIALS (Phase I, II and III): • If active arm > placebo arm →We proceed with the other phases of  the trial VERUM GROUP (active arm) PLACEBO GROUP (placebo arm)",,
