pdf_file,page_number,image_file,xref,width,height,context_snippet
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,12,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_12_img2.png,81,176,125,"Evolution of economy Edgeworth, Ramsey,  Fisher →hedonimeter (tool to infer value from  physical signals) Samuelson  →mathematical structure of consumer choice and  behavior in markets  - WARP (Weak Axiom of Revealed Pre..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,12,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_12_img3.png,82,176,125,"Evolution of economy Edgeworth, Ramsey,  Fisher →hedonimeter (tool to infer value from  physical signals) Samuelson  →mathematical structure of consumer choice and  behavior in markets  - WARP (Weak Axiom of Revealed Pre..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,12,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_12_img4.png,83,86,125,"Evolution of economy Edgeworth, Ramsey,  Fisher →hedonimeter (tool to infer value from  physical signals) Samuelson  →mathematical structure of consumer choice and  behavior in markets  - WARP (Weak Axiom of Revealed Pre..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,12,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_12_img5.png,84,97,125,"Evolution of economy Edgeworth, Ramsey,  Fisher →hedonimeter (tool to infer value from  physical signals) Samuelson  →mathematical structure of consumer choice and  behavior in markets  - WARP (Weak Axiom of Revealed Pre..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,13,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_13_img1.png,27,313,500,Evolution of economy CONSUMER BEHAVES: • Using UTILITY FUNCTION: that relates the  subjective value with the objective value  • To Maximize Utility Classical period of  economic theory Neoclassical PROBLEMS At the end of...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img1.png,91,333,333,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img2.png,92,140,135,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img3.png,94,140,135,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img4.png,96,616,514,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img5.png,99,25,25,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img6.png,101,615,513,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img7.png,103,25,25,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img8.png,105,25,25,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,15,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_15_img9.png,107,25,25,Allais paradox  100% chance of living 12 years  before dying 100% live 12 years 89% 10% 1% live 12 years live 18 years death 89% chance of living 12 years  before dying 10% chance of living 18 years 1% chance of sudden d...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img1.png,91,333,333,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img2.png,111,140,135,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img3.png,113,140,135,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img4.png,115,592,514,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img5.png,117,25,25,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img6.png,119,25,26,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img7.png,121,577,513,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img8.png,123,25,26,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,16,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_16_img9.png,125,25,25,Allais paradox: different scenario  11% chance of living 12 years 89% chance of sudden death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years 90% chance of sudden death 10% chance of living 18 years...
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img1.png,129,439,315,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img2.png,131,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img3.png,133,438,315,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img4.png,135,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img5.png,137,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img6.png,139,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img7.png,141,439,316,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img8.png,143,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img9.png,145,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img10.png,147,475,316,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img11.png,149,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img12.png,151,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img13.png,94,140,135,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,17,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_17_img14.png,111,140,135,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img1.png,129,439,315,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img2.png,131,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img3.png,133,438,315,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img4.png,135,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img5.png,137,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img6.png,139,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img7.png,141,439,316,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img8.png,143,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img9.png,145,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img10.png,147,475,316,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img11.png,149,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img12.png,151,22,22,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img13.png,94,140,135,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,18,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_18_img14.png,111,140,135,Results 100% live 12 years 89% 10%1% live 12 years live 18 years death 11% 89% live 12 years sudden death 90% 10% suddent death live 18 years These options have  the same outcome  89% of the times!!
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img1.png,157,439,315,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img2.png,131,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img3.png,159,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img4.png,161,438,315,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img5.png,163,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img6.png,137,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img7.png,139,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img8.png,141,439,316,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img9.png,143,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img10.png,145,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img11.png,165,438,316,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img12.png,149,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,19,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_19_img13.png,167,22,22,What if we write the options in a different way 89% 11% live 12 years live 12 years 89% 10% 1% live 12 years live 18 years death 11% 89% live 12 years sudden death 89% 1% 10% sudden death sudden death live 18 years
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,21,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_21_img1.png,173,138,179,"Asian disease example →lack of rationality in  our decision making Amos Nathan Tversky, 1937-1996 Daniel Kahneman, 1934 • Famous experiment conducted by Tversky and  Kahneman (1981)  • Participants were asked to ""imagine..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,21,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_21_img2.png,174,135,139,"Asian disease example →lack of rationality in  our decision making Amos Nathan Tversky, 1937-1996 Daniel Kahneman, 1934 • Famous experiment conducted by Tversky and  Kahneman (1981)  • Participants were asked to ""imagine..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,23,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_23_img1.png,184,402,319,"Asian disease example →lack of rationality in  our decision making GROUP 1 In a group of 600 people: •Program A: ""200 people will be saved“ •Program B: ""there is a 1/3 probability  that 600 people will be saved, and a 2/..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,23,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_23_img2.png,186,19,19,"Asian disease example →lack of rationality in  our decision making GROUP 1 In a group of 600 people: •Program A: ""200 people will be saved“ •Program B: ""there is a 1/3 probability  that 600 people will be saved, and a 2/..."
MODULE 1_1_6wdx.yFooMSpEweBG.file.pdf,23,docs\pdf_images\MODULE 1_1_6wdx.yFooMSpEweBG.file\page_23_img3.png,188,19,19,"Asian disease example →lack of rationality in  our decision making GROUP 1 In a group of 600 people: •Program A: ""200 people will be saved“ •Program B: ""there is a 1/3 probability  that 600 people will be saved, and a 2/..."
